Name,URL
GMX,https://defillama.com/protocol/gmx
dYdX,https://defillama.com/protocol/dydx
Gains Network,https://defillama.com/protocol/gains-network
Level Finance,https://defillama.com/protocol/level-finance
ApolloX,https://defillama.com/protocol/apollox
Keep3r Network,https://defillama.com/protocol/keep3r-network
IPOR,https://defillama.com/protocol/ipor
MUX Protocol,https://defillama.com/protocol/mux-protocol
ApeX Protocol,https://defillama.com/protocol/apex-protocol
Perpetual Protocol,https://defillama.com/protocol/perpetual-protocol
NestFi,https://defillama.com/protocol/nestfi
Mummy Finance,https://defillama.com/protocol/mummy-finance
Opyn Squeeth,https://defillama.com/protocol/opyn-squeeth
Pika Protocol,https://defillama.com/protocol/pika-protocol
Linear Finance,https://defillama.com/protocol/linear-finance
Drift,https://defillama.com/protocol/drift
Horizon Protocol,https://defillama.com/protocol/horizon-protocol
Metavault.Trade,https://defillama.com/protocol/metavault.trade
Perennial,https://defillama.com/protocol/perennial
Alpaca Perpetual Futures Exchange,https://defillama.com/protocol/alpaca-perpetual-futures-exchange
Hakka Finance,https://defillama.com/protocol/hakka-finance
Erasure,https://defillama.com/protocol/erasure
UniDex,https://defillama.com/protocol/unidex
Jarvis Network,https://defillama.com/protocol/jarvis-network
Morphex,https://defillama.com/protocol/morphex
Fulcrom,https://defillama.com/protocol/fulcrom
Hubble Exchange,https://defillama.com/protocol/hubble-exchange
Polynomial Trade,https://defillama.com/protocol/polynomial-trade
Voltz,https://defillama.com/protocol/voltz
Y2K Finance,https://defillama.com/protocol/y2k-finance
Bluefin,https://defillama.com/protocol/bluefin
DerivaDEX,https://defillama.com/protocol/derivadex
Mycelium,https://defillama.com/protocol/mycelium
Cap Finance,https://defillama.com/protocol/cap-finance
Perp88,https://defillama.com/protocol/perp88
handle.fi Perps,https://defillama.com/protocol/handle.fi-perps
Madmex,https://defillama.com/protocol/madmex
Lif3 Trade,https://defillama.com/protocol/lif3-trade
Uniwhale,https://defillama.com/protocol/uniwhale
HashDAO Finance,https://defillama.com/protocol/hashdao-finance
El Dorado Exchange,https://defillama.com/protocol/el-dorado-exchange
Contango,https://defillama.com/protocol/contango
FutureSwap,https://defillama.com/protocol/futureswap
Tethys Perpetual,https://defillama.com/protocol/tethys-perpetual
Onchain Trade,https://defillama.com/protocol/onchain-trade
AnyHedge,https://defillama.com/protocol/anyhedge
MetalSwap,https://defillama.com/protocol/metalswap
OPX Finance,https://defillama.com/protocol/opx-finance
MyMetaTrader,https://defillama.com/protocol/mymetatrader
prePO,https://defillama.com/protocol/prepo
Predy Finance,https://defillama.com/protocol/predy-finance
Lemma,https://defillama.com/protocol/lemma
Covo Finance,https://defillama.com/protocol/covo-finance
SynFutures,https://defillama.com/protocol/synfutures
Ideamarket,https://defillama.com/protocol/ideamarket
CompliFi,https://defillama.com/protocol/complifi
Float,https://defillama.com/protocol/float
Cranium Exchange,https://defillama.com/protocol/cranium-exchange
BayMax,https://defillama.com/protocol/baymax
Cypher,https://defillama.com/protocol/cypher
Spin Perps,https://defillama.com/protocol/spin-perps
RubyDex,https://defillama.com/protocol/rubydex
Hyperliquid,https://defillama.com/protocol/hyperliquid
EMDX,https://defillama.com/protocol/emdx
SpaceDex,https://defillama.com/protocol/spacedex
Unbound,https://defillama.com/protocol/unbound
DPEX,https://defillama.com/protocol/dpex
Numoen,https://defillama.com/protocol/numoen
Vanilla,https://defillama.com/protocol/vanilla
Chaotic Finance,https://defillama.com/protocol/chaotic-finance
Syrup Finance,https://defillama.com/protocol/syrup-finance
Logium,https://defillama.com/protocol/logium
Pegasus Finance,https://defillama.com/protocol/pegasus-finance
Phission Finance,https://defillama.com/protocol/phission-finance
KMex,https://defillama.com/protocol/kmex
Vela Exchange,https://defillama.com/protocol/vela-exchange
Deridex,https://defillama.com/protocol/deridex
NEX,https://defillama.com/protocol/nex
Peaky Finance,https://defillama.com/protocol/peaky-finance
JOJO,https://defillama.com/protocol/jojo
Mirror,https://defillama.com/protocol/mirror
Strips Finance,https://defillama.com/protocol/strips-finance
KPerp Exchange,https://defillama.com/protocol/kperp-exchange
Athos Finance,https://defillama.com/protocol/athos-finance
Y2B Finance,https://defillama.com/protocol/y2b-finance
HXRO Network,https://defillama.com/protocol/hxro-network
Sakai Vault,https://defillama.com/protocol/sakai-vault
