Name,URL,MAX TVL,Desc,Website,Twitter
GMX,https://defillama.com/protocol/gmx,$673.34m,"GMX is a decentralized spot and perpetual exchange that supports low swap fees and zero price impact trades. Trading is supported by a unique multi-asset pool that earns liquidity providers fees from market making, swap fees, leverage trading (spreads, funding fees & liquidations) and asset rebalancing.",https://gmx.io/,https://twitter.com/GMX_IO
dYdX,https://defillama.com/protocol/dydx,$353.51m,"The most powerful open trading platform for crypto assets. Margin trade, borrow, and lend cryptocurrency.",https://dydx.exchange/,https://twitter.com/dYdX
Gains Network,https://defillama.com/protocol/gains-network,$56.14m,Gains Network is building the decentralized finance ecosystem of the future. Our goal is to build the most advanced and optimised suite of DeFi products in the space.,https://gainsnetwork.io,https://twitter.com/GainsNetwork_io
Level Finance,https://defillama.com/protocol/level-finance,$40.23m,Level Finance - Decentralized Perpetual Exchange.,https://app.level.finance,https://twitter.com/Level__Finance
ApolloX,https://defillama.com/protocol/apollox,$39.63m,"ApolloX Finance is a decentralized crypto trading exchange. Unlike the common Automated Market Makers model (AMM) which is adopted by other decentralized exchanges, ApolloX Finance adopts the order book model, which supports both spot and futures trading. By using off-chain order books and on-chain settlement, its protocol aims to create an efficient, fair and trustless financial market that is not controlled by any centralized organization.",https://www.apollox.com/en/APX,https://twitter.com/ApolloX_com
Keep3r Network,https://defillama.com/protocol/keep3r-network,$36.42m,Keep3r Network is a decentralized keeper network for projects that need external devops and for external teams to find keeper jobs,https://keep3r.network,https://twitter.com/thekeep3r
IPOR,https://defillama.com/protocol/ipor,$30.1m,IPOR (Inter Protocol Over-block Rate) is a DeFi permissionless interest rate index used by IPOR Protocol (an interest rate derivative DEX). IPOR Protocol allows users to hedge their exposure by leveraging non-custodian on-chain interest rate swaps.,https://www.ipor.io,https://twitter.com/ipor_io
MUX Protocol,https://defillama.com/protocol/mux-protocol,$25.63m,"MUX Protocol Suite contains the MUX Leveraged Trading Protocol and MUX Aggregator. MUX offers optimized trading cost, deep aggregated liquidity, diverse market options and a wide range of leverage options for traders.",https://mux.network/,https://twitter.com/muxprotocol
ApeX Protocol,https://defillama.com/protocol/apex-protocol,$22.93m,"ApeX, an innovative derivatives protocol to provide Web3 users with a supreme derivatives trading experience.",https://www.apex.exchange/,https://twitter.com/OfficialApeXdex
Perpetual Protocol,https://defillama.com/protocol/perpetual-protocol,$17.79m,Decentralized Perpetual Contracts for Every Asset.,https://app.perp.com,https://twitter.com/perpprotocol
NestFi,https://defillama.com/protocol/nestfi,$17.18m,Use NEST to buy ETH/USDT and BTC/USDT futures with up to 20x leverage,https://nestprotocol.org,https://twitter.com/nest_protocol
Mummy Finance,https://defillama.com/protocol/mummy-finance,$16.74m,Bring unparalleled Swap and Perpetual trading experience to FantomFDN users,https://www.mummy.finance,https://twitter.com/mummyftm
Opyn Squeeth,https://defillama.com/protocol/opyn-squeeth,$13.14m,Squeeth perpetual exposure to ETH²,https://squeeth.opyn.co,https://twitter.com/opyn_
Pika Protocol,https://defillama.com/protocol/pika-protocol,$12.43m,A Perpetual Swap Exchange,https://pikaprotocol.com,https://twitter.com/PikaProtocol
Linear Finance,https://defillama.com/protocol/linear-finance,"$9,795,544","The first cross-chain compatible, delta-one asset protocol.",https://linear.finance,https://twitter.com/LinearFinance
Drift,https://defillama.com/protocol/drift,"$7,794,311","Drift brings on-chain, cross-margined perpetual futures to Solana. Making futures DEXs the best way to trade.",https://www.drift.trade,https://twitter.com/DriftProtocol
Horizon Protocol,https://defillama.com/protocol/horizon-protocol,"$7,409,176",Horizon Protocol facilitates the on-chain trading of synthetic assets that represent the real economy. Seeks to provide exposure to real-world assets risk/return profiles via smart contracts on the binance smart chain.,https://horizonprotocol.com/,https://twitter.com/HorizonProtocol
Metavault.Trade,https://defillama.com/protocol/metavault.trade,"$5,930,667","Metavault.Trade is a new kind of Decentralised Exchange, designed to provide a large range of trading features and very deep liquidity on many large cap crypto assets. Traders can use it in two ways: Spot trading, with swaps and limit orders. Perpetual futures trading with up to 50x leverage on short and long positions. Metavault.Trade aims to become the go-to solution for traders who want to stay in control of their funds at all times without sharing their personal data.",https://metavault.trade,https://twitter.com/MetavaultTRADE
Perennial,https://defillama.com/protocol/perennial,"$5,081,712","Perennial is a decentralized derivatives protocol built from first-principles to be a powerful, flexible, and composable primitive that can scale to meet the needs of DeFi traders, liquidity providers, and developers.",https://perennial.finance,https://twitter.com/perenniallabs
